U.S. state,Abbreviations,total square miles,total square km,Population: (2024) estimate,Population: (2020) census
Alabama,AL,52420,135767,5157699,5024279
Alaska,AK,665384,1723337,740133,733391
Arizona,AZ,113990,295234,7582384,7151502
Arkansas,AR,53179,137732,3088354,3011524
California,CA,163695,423967,39431263,39538223
Colorado,CO,104094,269601,5957493,5773714
Connecticut,CT,5543,14357,3675069,3605944
Delaware,DE,2489,6446,1051917,989948
Florida,FL,65758,170312,23372215,21538187
Georgia,GA,59425,153910,11180878,10711908
Hawaii,HI,10932,28313,1446146,1455271
Idaho,ID,83569,216443,2001619,1839106
Illinois,IL,57914,149995,12710158,12812508
Indiana,IN,36420,94326,6924275,6785528
Iowa,IA,56273,145746,3241488,3190369
Kansas,KS,82278,213100,2970606,2937880
Kentucky,KY,40408,104656,4588372,4505836
Louisiana,LA,52378,135659,4597740,4657757
Maine,ME,35380,91633,1405012,1362359
Maryland,MD,12406,32131,6263220,6177224
Massachusetts,MA,10554,27336,7136171,7029917
Michigan,MI,96714,250487,10140459,10077331
Minnesota,MN,86936,225163,5793151,5706494
Mississippi,MS,48432,125438,2943045,2961279
Missouri,MO,69707,180540,6245466,6154913
Montana,MT,147040,380831,1137233,1084225
Nebraska,NE,77348,200330,2005465,1961504
Nevada,NV,110572,286380,3267467,3104614
New Hampshire,NH,9349,24214,1409032,1377529
New Jersey,NJ,8723,22591,9500851,9288994
New Mexico,NM,121590,314917,2130256,2117522
New York,NY,54555,141297,19867248,20201249
North Carolina,NC,53819,139391,11046024,10439388
North Dakota,ND,70698,183108,796568,779094
Ohio,OH,44826,116098,11883304,11799448
Oklahoma,OK,69899,181037,4095393,3959353
Oregon,OR,98379,254799,4272371,4237256
Pennsylvania,PA,46054,119280,13078751,13002700
Rhode Island,RI,1545,4001,1112308,1097379
South Carolina,SC,32020,82933,5478831,5118425
South Dakota,SD,77116,199729,924669,886667
Tennessee,TN,42144,109153,7227750,6910840
Texas,TX,268596,695662,31290831,29145505
Utah,UT,84897,219882,3503613,3271616
Vermont,VT,9616,24906,648493,643077
Virginia,VA,42775,110787,8811195,8631393
Washington,WA,71298,184661,7958180,7705281
West Virginia,WV,24230,62756,1769979,1793716
Wisconsin,WI,65496,169635,5960975,5893718
Wyoming,WY,97813,253335,587618,576851
